source_id,rq_id,population,event,age_range,sex,maturity,training_age,competitive_level,season,intervention,comparator,component_dose,component_order,separation_hours,target_interval_hours,actual_interval_hours,outcome_domain,outcome_measure,instrument_protocol,time_horizon,time_points,missingness,adverse_events,effect_estimate,uncertainty,individual_response,limitations,reviewer_1,reviewer_2,adjudication
"FRV2-F-001","RQ-F","53 England Athletics Youth Talent Programme athletes; 29 endurance athletes","TRACK_AND_FIELD;ENDURANCE","16-18_YEARS","31_FEMALE;22_OTHER_OR_NOT_FEMALE","NOT_REPORTED","NOT_REPORTED","YOUTH_TALENT_PROGRAMME","NOT_REPORTED","Co-created health and wellbeing monitoring requirements through athlete survey plus athlete and staff qualitative work","Current diary and monitoring practices without automated plan comparison","One cross-sectional survey plus focus groups and interview","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","FEASIBILITY;COMPREHENSION;BURDEN","Diary use; health monitoring use; preferred input time and cadence; clarity; feedback usefulness","Survey with athlete and staff focus groups or interview; participant-visible completion stages retained","CROSS_SECTIONAL","ONE_SURVEY_AND_QUALITATIVE_CONTACT","Ninety survey records were incomplete across consent start and completion stages","NOT_REPORTED","62% did not keep a training diary; 45% did not monitor health or wellbeing; half of diary users reported 0-5 minutes","Descriptive single-programme estimates; confidence intervals not reported in reviewed extraction","Preferred cadence and burden varied between athletes","Purposive England talent programme; age 16-18 only; preferences not longitudinal adherence; no automated prescription or safety outcome","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-F-002","RQ-F","34 injured high-school athletes","MIXED_SPORT;THREE_TRACK_ATHLETES","14-18_YEARS","61.8_PERCENT_FEMALE","NOT_REPORTED","NOT_REPORTED","HIGH_SCHOOL_ATHLETES","NOT_REPORTED","Consumer-grade wearable collection with tutorials sync checks text troubleshooting GPS disabling and deidentified transfer","No automated plan or explanation comparator","Approximately two months of daily wearable collection in two cohorts","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","FEASIBILITY;ADHERENCE;RECORD_INTEGRITY","Daily wearable adherence; technical missingness; exclusion; withdrawal and support events","Device wear and sync records with cohort-specific completeness accounting","APPROXIMATELY_TWO_MONTHS","DAILY","Exclusions and missing wear were reported separately; exact withdrawal count not retained in source note","Participants were injured at enrolment; intervention-emergent adverse events NOT_REPORTED","Median daily adherence was 93% and 95% in the two cohorts","Small cohorts; adherence ranges and time variation reported but exact intervals not retained in this lane","Adherence varied by participant and over time","Small injured compensated or vendor-mediated sample; only three track athletes; no candidate explanation test; no efficacy or safety inference","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-F-003","RQ-F","60 adolescents from three Australian schools","GENERAL_PHYSICAL_ACTIVITY","13-14_YEARS","ALL","NOT_REPORTED","NOT_REPORTED","SCHOOL_SAMPLE","NOT_REPORTED","Wearable activity tracker use followed by focus groups","Pre-use expectations and reported experience; no automated prescription comparator","Six weeks of tracker use","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","USABILITY;ACCEPTABILITY;TECHNICAL_BURDEN","Ease and usefulness; comfort; design; sport-specific feedback; removal and sleep friction","Qualitative focus groups after six-week use","SIX_WEEKS","POST_USE_FOCUS_GROUP","NOT_REPORTED","NOT_REPORTED","Devices were generally described as easy and useful; sport feedback comfort water-sport removal and sleep use created friction","Qualitative findings without quantified completion or uncertainty intervals","Individual preferences and sport contexts differed","Non-athlete school sample; qualitative acceptability; no objective completion endpoint; no automated plan comparison or safety outcome","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-F-004","RQ-F","1843 children and adolescents across 33 studies","GENERAL_PHYSICAL_ACTIVITY","5-19_YEARS","ALL","NOT_STANDARDIZED","NOT_REPORTED","MIXED","NOT_REPORTED","Wearable activity tracker interventions","Heterogeneous study comparators","Thirty-three heterogeneous studies; dose varied","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","ACCEPTABILITY;FEASIBILITY;ADHERENCE","Attitude; burden; intervention coherence and understanding; usefulness; technical barriers; continued adherence","Systematic review of studies searched through 2019 with heterogeneous measurement and risk of bias","STUDY_SPECIFIC","STUDY_SPECIFIC","Variable reporting across studies; exact pooled missingness not reported","Adverse events were not synthesized","Technical charging syncing and design barriers occurred; some studies reported adherence declining after novelty","Heterogeneous designs and variable risk of bias precluded a universal feasibility threshold","Responses and adherence varied across studies and over time","Mostly non-athlete interventions; no coach-plan comparison; acceptability cannot establish efficacy safety or injury prevention","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-F-005","RQ-F","144 intervention adolescents from nine schools","GENERAL_PHYSICAL_ACTIVITY","MEAN_13.7_YEARS","ALL","NOT_REPORTED","NOT_REPORTED","INACTIVE_SCHOOL_SAMPLE","NOT_REPORTED","Twelve-week multicomponent wearable physical-activity intervention","Cluster-trial context; no automated training-plan comparator","Wearable content notifications and weekly challenges for 12 weeks","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","COMPREHENSION;USABILITY;ADHERENCE;BURDEN","Content understanding; tracker ease; daily wear; weekly challenge completion; notification burden","Mixed-method implementation evaluation alongside cluster randomized trial","TWELVE_WEEKS","DURING_AND_POST_INTERVENTION","Component-level noncompletion reported; exact attrition and technical missingness not retained","NOT_REPORTED","83.3% found content easy to understand; 93.3% found tracker easy; 18.6% reported daily wear; 36.1% completed weekly challenges","Self-reported adherence and multicomponent attribution; confidence intervals not retained","Engagement declined and notifications were unwelcome for some participants","Inactive non-athlete sample; stated ease did not establish comprehension or completion; no prescription comparison; no efficacy or safety transfer","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-F-006","RQ-F","20 adult competitive middle- and long-distance runners","MIDDLE_DISTANCE;LONG_DISTANCE","20-64_YEARS","ALL","NOT_APPLICABLE","NOT_REPORTED","COMPETITIVE_RUNNERS","NOT_REPORTED","Six-week health and wellbeing monitoring prototype","Usual practice before prototype; no automated plan comparator","Weekly monitoring for six weeks","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","FEASIBILITY;COMPREHENSION;DATA_GOVERNANCE","Weekly completion; item clarity; routine fit; visible usefulness; data access and control","Prototype use followed by qualitative interviews","SIX_WEEKS","WEEKLY","One of 20 did not complete weekly monitoring; reasons not fully retained","NOT_REPORTED","19 of 20 completed weekly monitoring","Small purposive qualitative study; no confidence interval","Participants differed in desired definitions routine fit outputs and data-control expectations","Adult indirectness; small sample; no youth coach comparison automated prescription efficacy or safety outcome","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-F-007","RQ-F","74 elite judo swimming and volleyball athletes","MIXED_SPORT","MEAN_21_YEARS","ALL","NOT_APPLICABLE","NOT_REPORTED","ELITE","NOT_REPORTED","Online sports-health surveillance system","Existing face-to-face communication","Repeated online reports over 15-42 weeks","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","ACCEPTABILITY;COMPLETION;COACH_HANDOFF","Response rate; feedback expectations; relationship to face-to-face communication","Mixed-method pilot with repeated online surveillance and end-user perceptions","15_TO_42_WEEKS","REPEATED;CADENCE_NOT_RETAINED","Nonresponse was substantial; exact withdrawal and technical failure breakdown not retained","NOT_REPORTED","Response rates ranged from 50% to 61%; users expected feedback and viewed the system as complementary to face-to-face contact","Sport and follow-up heterogeneity; descriptive response rates only","User perceptions and response persistence varied","Adult or young-adult non-runner sample; early subjective perceptions; cannot establish prevention replacement of coach safety or efficacy","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-F-008","RQ-F","No athlete population; methodological examples across fields","METHODS","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","Feasibility-study domain framework","Undifferentiated use of pilot or efficacy terminology","Acceptability demand implementation practicality adaptation integration expansion and limited-efficacy domains","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","FEASIBILITY_METHODS","Conceptual feasibility domains and example questions","Methodological framework; not a validated checklist","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","First pilot may assess acceptability implementation practicality and workflow integration; no empirical effect estimate","NOT_APPLICABLE","NOT_APPLICABLE","Conceptual framework only; no universal progression threshold; limited-efficacy domain is excluded from this pilot","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-F-009","RQ-F","Methods research; no athlete population","METHODS","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","International consensus and Delphi definition of feasibility and pilot studies","Inconsistent prior terminology","Feasibility asks whether and how a future study can be done; pilot rehearses all or part of intended process at smaller scale","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","FEASIBILITY_METHODS","Definition and boundary between feasibility and pilot work","International consensus or Delphi methods","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","RQ-F may test observability and process progression but not product efficacy safety or identity","Consensus definition; no product-specific effect estimate","NOT_APPLICABLE","RCT-preparation orientation; not automated training or product-adoption validation","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
"FRV2-F-010","RQ-F","Healthcare stakeholders across roles","DECISION_SUPPORT_EXPLANATION","NOT_APPLICABLE","ALL","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","Role- and risk-sensitive explanations for AI-supported decisions","Undifferentiated explanation exposure","Inputs reasons missingness uncertainty and human authority shown according to user role","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","EXPLANATION;COMPREHENSION;DISAGREEMENT","User-role needs; evaluation and resolution of disagreement; teach-back concept","Multidisciplinary conceptual analysis","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_REPORTED","Explanation exposure does not demonstrate comprehension; comprehension and disagreement require direct testing","Conceptual analysis; no validated comprehension score or effect estimate","Explanation needs depend on role and risk","Healthcare rather than youth sport; cannot prove that explanation improves decisions efficacy or safety","AI_EXTRACTION_LANE_1","PENDING_INDEPENDENT_EXTRACTION","PENDING_ADJUDICATION"
