source_id,rq_id,design,appraisal_tool,domain_judgments,overall_judgment,youth_directness,architecture_directness,outcome_compatibility,time_horizon_compatibility,correction_state,overlap_group,reviewer_1,reviewer_2,adjudication,human_confirmation,notes
FRV2-A-005,RQ-A,SYSTEMATIC_REVIEW_OF_META_ANALYSES,AMSTAR_2,PROTOCOL=NOT_VERIFIED;SEARCH=SOURCE_REPORTED;DUPLICATE_PROCESSES=NOT_VERIFIED;RISK_OF_BIAS_APPRAISAL=SOURCE_SPECIFIC;SYNTHESIS=SOME_CONCERNS;OVERLAP=RECORDED_SEPARATELY,SOME_CONCERNS,INDIRECT,PARTIAL,PARTIAL,PARTIAL,NOT_VERIFIED,FRV2-OVERLAP-PERIODIZATION-METHODOLOGY,AI_APPRAISAL_LANE_1,NOT_APPLICABLE,PENDING_INDEPENDENT_APPRAISAL,PENDING_HUMAN,"Lane-1 SOME_CONCERNS judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. No audited study tested varied nonperiodized comparators or accuracy of adaptation-timing predictions; running transfer is indirect. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
FRV2-A-006,RQ-A,CROSS_SECTIONAL_COACH_SURVEY,JBI_ANALYTICAL_CROSS_SECTIONAL,SAMPLE_FRAME=SOME_CONCERNS;EXPOSURE_MEASUREMENT=SOURCE_SPECIFIC;CONFOUNDING=SOME_CONCERNS;OUTCOME_MEASUREMENT=SOURCE_SPECIFIC;TEMPORALITY=ABSENT;CAUSAL_USE=PROHIBITED,SOME_CONCERNS,INDIRECT,PARTIAL,PARTIAL,PARTIAL,NOT_VERIFIED,FRV2-OVERLAP-COACH-PLANNING-SURVEYS,AI_APPRAISAL_LANE_1,NOT_APPLICABLE,PENDING_INDEPENDENT_APPRAISAL,PENDING_HUMAN,"Lane-1 SOME_CONCERNS judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. Perceptions support revisable planning indirectly; no running subgroup, cycle prevalence, or outcome efficacy. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
FRV2-A-007,RQ-A,DESCRIPTIVE_MULTIPLE_CASE_STUDY,JBI_CASE_REPORT_OR_SERIES,CASE_SELECTION=HIGH_CONCERN;HISTORY=SOURCE_SPECIFIC;EXPOSURE=SOURCE_SPECIFIC;OUTCOMES=SOURCE_SPECIFIC;CONCURRENT_CHANGE=HIGH_CONCERN;GENERALIZATION=PROHIBITED,HIGH_CONCERN,INDIRECT,PARTIAL,PARTIAL,PARTIAL,CURRENT_CROSSMARK,FRV2-OVERLAP-ENDURANCE-COACH-CASE_STUDIES,AI_APPRAISAL_LANE_1,NOT_APPLICABLE,PENDING_INDEPENDENT_APPRAISAL,PENDING_HUMAN,"Lane-1 HIGH_CONCERN judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. Weekly organization remained explicit and pragmatic adjustments were reported; middle-distance events under six minutes were excluded. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
FRV2-A-008,RQ-A,NARRATIVE_REVIEW,SANRA_NO_SCORE,IMPORTANCE=STATED;AIMS=STATED;SEARCH_DESCRIPTION=PARTIAL;REFERENCING=SOURCE_SPECIFIC;SCIENTIFIC_REASONING=HIGH_CONCERN;EFFECT_CERTAINTY=NOT_ESTIMATED,HIGH_CONCERN,INDIRECT,PARTIAL,PARTIAL,PARTIAL,NOT_VERIFIED,FRV2-OVERLAP-RUNNER-PERIODIZATION-REVIEWS,AI_APPRAISAL_LANE_1,NOT_APPLICABLE,PENDING_INDEPENDENT_APPRAISAL,PENDING_HUMAN,"Lane-1 HIGH_CONCERN judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. Reports 11-14 sessions per week and typical training weeks; no nonweekly-frame comparison. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
FRV2-A-009,RQ-A,OBSERVATIONAL_COHORT_CASE_STUDY,JBI_COHORT,GROUP_SELECTION=HIGH_CONCERN;EXPOSURE_MEASUREMENT=SOURCE_SPECIFIC;CONFOUNDING=HIGH_CONCERN;OUTCOME_MEASUREMENT=SOURCE_SPECIFIC;FOLLOW_UP=SOURCE_SPECIFIC;CAUSAL_USE=PROHIBITED,HIGH_CONCERN,INDIRECT,PARTIAL,PARTIAL,PARTIAL,NOT_VERIFIED,FRV2-OVERLAP-ALTITUDE-RUNNER-COHORTS,AI_APPRAISAL_LANE_1,NOT_APPLICABLE,PENDING_INDEPENDENT_APPRAISAL,PENDING_HUMAN,"Lane-1 HIGH_CONCERN judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. Typical training week with individual event and altitude adjustments; n=8 and no nonweekly comparator. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
FRV2-A-010,RQ-A,RANDOMIZED_SUPPLEMENT_PLACEBO_OVERLOAD_EXPERIMENT,RoB_2,RANDOMIZATION=NOT_VERIFIED;DEVIATIONS=SOME_CONCERNS;MISSING_OUTCOME_DATA=SOURCE_SPECIFIC;OUTCOME_MEASUREMENT=SOURCE_SPECIFIC;SELECTIVE_REPORTING=NOT_VERIFIED,SOME_CONCERNS,INDIRECT,PARTIAL,PARTIAL,PARTIAL,NOT_VERIFIED,FRV2-OVERLAP-EXACT-DURATION-FALSE-POSITIVES,AI_APPRAISAL_LANE_1,NOT_APPLICABLE,PENDING_INDEPENDENT_APPRAISAL,PENDING_HUMAN,"Lane-1 SOME_CONCERNS judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. A 9-9.5 consecutive-day overload exposure, not a recurring microcycle; exclude as frame evidence. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
FRV2-A-011,RQ-A,ATHLETE_INTERVIEW_REPORT,NON_RESEARCH_PROVENANCE_AND_ATTRIBUTION_CHECK,PROVENANCE=VERIFIED_FOR_REPORTED_PRACTICE;SELECTION=HIGH_CONCERN;SELF_REPORT=HIGH_CONCERN;COMPARATOR=ABSENT;OUTCOME_ATTRIBUTION=PROHIBITED,HIGH_CONCERN,INDIRECT,PARTIAL,PARTIAL,PARTIAL,NOT_VERIFIED,FRV2-OVERLAP-NONWEEKLY-COACHING-USE,AI_APPRAISAL_LANE_1,NOT_APPLICABLE,PENDING_INDEPENDENT_APPRAISAL,PENDING_HUMAN,"Lane-1 HIGH_CONCERN judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. Verified retrospective self-report of a 9-day cycle; use evidence only, with no causal efficacy or youth-transfer inference. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
FRV2-A-012,RQ-A,JOURNALISTIC_SELF_REPORT,NON_RESEARCH_PROVENANCE_AND_ATTRIBUTION_CHECK,PROVENANCE=VERIFIED_FOR_REPORTED_PRACTICE;SELECTION=HIGH_CONCERN;SELF_REPORT=HIGH_CONCERN;COMPARATOR=ABSENT;OUTCOME_ATTRIBUTION=PROHIBITED,HIGH_CONCERN,INDIRECT,PARTIAL,PARTIAL,PARTIAL,NOT_VERIFIED,FRV2-OVERLAP-NONWEEKLY-COACHING-USE,AI_APPRAISAL_LANE_1,NOT_APPLICABLE,PENDING_INDEPENDENT_APPRAISAL,PENDING_HUMAN,"Lane-1 HIGH_CONCERN judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. Single self-programmed 9-day case with self-reported outcomes and concurrent changes; no causal inference. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
FRV2-A-013,RQ-A,COACH_ATHLETE_INTERVIEW_PRACTICE_ARTICLE,NON_RESEARCH_PROVENANCE_AND_ATTRIBUTION_CHECK,PROVENANCE=VERIFIED_FOR_REPORTED_PRACTICE;SELECTION=HIGH_CONCERN;SELF_REPORT=HIGH_CONCERN;COMPARATOR=ABSENT;OUTCOME_ATTRIBUTION=PROHIBITED,HIGH_CONCERN,INDIRECT,PARTIAL,PARTIAL,PARTIAL,NOT_VERIFIED,FRV2-OVERLAP-NONWEEKLY-COACHING-USE,AI_APPRAISAL_LANE_1,NOT_APPLICABLE,PENDING_INDEPENDENT_APPRAISAL,PENDING_HUMAN,"Lane-1 HIGH_CONCERN judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. Hunt reports actual 10-day use; article also provides a 9-day template and practical counterevidence. A quoted 72 hours is not clearance. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
FRV2-A-014,RQ-A,COACHING_ARTICLE,NON_RESEARCH_PROVENANCE_AND_ATTRIBUTION_CHECK,PROVENANCE=VERIFIED_FOR_REPORTED_PRACTICE;SELECTION=HIGH_CONCERN;SELF_REPORT=HIGH_CONCERN;COMPARATOR=ABSENT;OUTCOME_ATTRIBUTION=PROHIBITED,HIGH_CONCERN,INDIRECT,PARTIAL,PARTIAL,PARTIAL,NOT_VERIFIED,FRV2-OVERLAP-NONWEEKLY-COACHING-USE,AI_APPRAISAL_LANE_1,NOT_APPLICABLE,PENDING_INDEPENDENT_APPRAISAL,PENDING_HUMAN,"Lane-1 HIGH_CONCERN judgment applies only to the source's stated narrow use and is not GRADE certainty. It cannot validate 9.5-day optimality, safety, recovery clearance, or runtime authority. Third-party report of 10-day use, not a primary verified protocol; unsupported injury language excluded. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
