source_id,rq_id,population,event,age_range,sex,maturity,training_age,competitive_level,season,intervention,comparator,component_dose,component_order,separation_hours,target_interval_hours,actual_interval_hours,outcome_domain,outcome_measure,instrument_protocol,time_horizon,time_points,missingness,adverse_events,effect_estimate,uncertainty,individual_response,limitations,reviewer_1,reviewer_2,adjudication
FRV2-E-001,RQ-E,sports medicine measurement populations,test-retest reliability and measurement error,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,MIXED_OR_NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MEASUREMENT_ERROR,systematic bias; random error; SEM; CV; limits of agreement,Multiple retests under a named unchanged protocol; inspect additive versus proportional error and heteroscedasticity; do not treat correlation as agreement; device or protocol transfer requires new compatibility evidence,TEST_RETEST; EXACT_SPAN_NOT_REPORTED,MULTIPLE_RETESTS; UNIVERSAL_N_NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,Formula and scale assumptions determine the uncertainty estimate,Compatible metric-specific error can support error-exceeding change only; it does not establish causality,ABSTRACT_ONLY; reliability does not automatically transfer across athlete population device or test protocol,NOT_APPLICABLE,AI_EXTRACTION_LANE_2,PENDING_INDEPENDENT_EXTRACTION
FRV2-E-003,RQ-E,test-retest measurement populations,ICC and SEM estimation,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MEASUREMENT_ERROR,ICC; SEM; MDC or individual change bound,Record ICC model variance components SEM formula calculation version units and confidence level; a changed device or protocol invalidates direct reuse unless compatibility is established,TEST_RETEST; EXACT_SPAN_NOT_REPORTED,REPEATED_TESTS; UNIVERSAL_N_NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,ICC depends on sample heterogeneity and SEM or MDC depends on the selected formula and confidence level,A threshold crossing is an error-bound statement only,ABSTRACT_ONLY; different ICC and SEM formulas yield different values; no universal observation count or freshness threshold,NOT_APPLICABLE,AI_EXTRACTION_LANE_2,PENDING_INDEPENDENT_EXTRACTION
FRV2-E-004,RQ-E,athletes and sporting-performance tests,sport performance test evaluation,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,MIXED_OR_NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MEASUREMENT_PROPERTIES,validity; reliability; sensitivity or responsiveness,Test protocol must represent the intended performance construct in the intended population and setting; protocol or equipment changes require separate evidence or explicit stratification,METRIC_AND_PURPOSE_SPECIFIC,REPEATED_TESTING_REQUIRED; UNIVERSAL_N_NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,Detectable change depends on protocol-specific error relative to a separately justified worthwhile change,Individual interpretation is limited to the validated construct and protocol,ABSTRACT_ONLY; sport population and test specificity are high; laboratory sensitivity does not guarantee competition validity,NOT_APPLICABLE,AI_EXTRACTION_LANE_2,PENDING_INDEPENDENT_EXTRACTION
FRV2-E-006,RQ-E,exercise and nutrition intervention populations,individual response and meaningful change,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,MIXED_OR_NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,INDIVIDUAL_RESPONSE_METHOD,typical error; confidence interval; SWC; biological variability,Use compatible baseline and follow-up protocols; record error model method and justified SWC separately; protocol or device drift blocks direct change classification unless modeled,BASELINE_TO_FOLLOWUP; EXACT_DURATION_NOT_REPORTED,REPEATED_MEASURES; UNIVERSAL_N_NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,NOT_APPLICABLE,Report confidence intervals and distinguish measurement error from biological response variability and worthwhile magnitude,Display error-exceedance and worthwhile-change status separately; neither proves a stable response phenotype,SWC is decision-context dependent; threshold classification does not establish causality safety or a repeatable person-by-intervention effect,NOT_APPLICABLE,AI_EXTRACTION_LANE_2,PENDING_INDEPENDENT_EXTRACTION
FRV2-E-007,RQ-E,exercise-training participants,subject-by-training response,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,MIXED_OR_NOT_REPORTED,NOT_REPORTED,training exposure,relevant control and replicated contrast,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,INDIVIDUAL_RESPONSE_METHOD,measurement error; subject-by-training interaction; within-subject efficacy variation,Repeated interventions or replicated contrasts must retain a stable named measurement and training protocol; protocol changes are confounders,PRE_POST_AND_REPLICATED_INTERVENTIONS; EXACT_DURATION_NOT_REPORTED,ONE_PRE_POST_EPISODE_INSUFFICIENT; UNIVERSAL_N_NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,Low signal-to-noise and within-person efficacy variation remain in uncertainty even with a larger group,A planned within-athlete comparison may be described within design limits but cannot assign a permanent responder label,ABSTRACT_ONLY; control alone may not identify within-person efficacy variation; time trend concurrent training carryover and other confounds require design handling,NOT_APPLICABLE,AI_EXTRACTION_LANE_2,PENDING_INDEPENDENT_EXTRACTION
FRV2-E-008,RQ-E,human exercise-training studies,trainability and response classification,ADULT_AND_CLINICAL_MIXED,MIXED_OR_NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,MIXED,NOT_REPORTED,reviewed exercise interventions,reviewed controls or comparators varied,HETEROGENEOUS,HETEROGENEOUS,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,SYSTEMATIC_REVIEW_OF_INDIVIDUAL_RESPONSE_METHODS,interindividual response variance and responder classification,Classification must preserve metric protocol threshold method error model and importance threshold; incompatible studies or device protocols cannot be pooled as one personal rule,HETEROGENEOUS_STUDY_HORIZONS,HETEROGENEOUS; UNIVERSAL_N_NOT_SUPPORTED,HETEROGENEOUS_OR_NOT_REPORTED,HETEROGENEOUS_OR_NOT_REPORTED,NO_SINGLE_EFFECT_EXTRACTED,Threshold choice and heterogeneous error or SWC or MCID methods materially affect response rates,Simple pre-post sign or group SD bands cannot establish within-athlete causality,Review heterogeneity and overlap limit transfer; classifications remain sensitive to method and do not establish stable personal response safety or freshness,NOT_APPLICABLE,AI_EXTRACTION_LANE_2,PENDING_INDEPENDENT_EXTRACTION
FRV2-E-009,RQ-E,clinical trial and personalised-medicine examples,variance components and replicated individual contrasts,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,CLINICAL_MIXED,NOT_REPORTED,treatment conditions in replicated crossover logic,within-person comparator conditions,NOT_REPORTED,REPLICATED_CROSSOVER,DESIGN_SPECIFIC,DESIGN_SPECIFIC,DESIGN_SPECIFIC,PERSONALISED_RESPONSE_METHOD,treatment-effect heterogeneity versus within-person and measurement variation,Stable outcome and intervention protocols are required across repeated contrasts; protocol drift and period effects must be modeled,REPLICATED_PERIODS; EXACT_DURATION_NOT_REPORTED,REPEATED_INDIVIDUAL_CONTRASTS; UNIVERSAL_N_NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_APPLICABLE,Separate between-person variance measurement variation and within-person variation in response,Observed between-person spread alone does not prove a repeatable personal treatment effect,Clinical rather than sport-specific; period trend autocorrelation confounding and carryover remain design threats; accumulated observations alone are noncausal,NOT_APPLICABLE,AI_EXTRACTION_LANE_2,PENDING_INDEPENDENT_EXTRACTION
FRV2-E-010,RQ-E,sports-science statistical applications,magnitude-based inference operating characteristics,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,STATISTICAL_INFERENCE_CRITIQUE,confidence intervals; Bayesian specification; smallest important effect,Use transparent interval methods or a fully specified Bayesian model and justify the importance threshold independently; measurement protocol remains a separate prerequisite,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MBI operating characteristics and claimed reduced-sample advantages are not accepted as an uncertainty model,No likely-worthwhile label creates within-athlete causal evidence,Critique is specific to MBI; it does not reject defining an important effect but blocks reduced-sample shortcuts and universal n claims,NOT_APPLICABLE,AI_EXTRACTION_LANE_2,PENDING_INDEPENDENT_EXTRACTION
FRV2-E-011,RQ-E,sports-science statistical applications,MBI type-I and type-II error simulation,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,simulated inferential procedures,alternative valid inferential procedures,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,STATISTICAL_INFERENCE_CRITIQUE,type-I and type-II error behavior across effect and sample-size conditions,Inferential method operating characteristics must match the claim; a protocol-valid observation series remains separately required,SIMULATED_CONDITIONS; NOT_AN_ATHLETE_TIME_SERIES,VARIED_SIMULATED_SAMPLE_SIZES; NO_PRODUCT_N,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MBI can inflate false-positive error under examined conditions,A small sample has no special causal exemption and a likely-worthwhile label is not a personal-response proof,ABSTRACT_ONLY; simulation addresses MBI rather than direct athlete-monitoring thresholds freshness trend or carryover,NOT_APPLICABLE,AI_EXTRACTION_LANE_2,PENDING_INDEPENDENT_EXTRACTION
FRV2-E-013,RQ-E,patients clinicians and N-of-1 trial designers,randomized N-of-1 design and analysis,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,CLINICAL_MIXED,NOT_REPORTED,balanced or randomized treatment periods,comparator treatment periods,HYPOTHESIS_SPECIFIC,RANDOMIZED_OR_BALANCED_PERIODS,ONSET_AND_CARRYOVER_SPECIFIC,PERIOD_SPECIFIC,PERIOD_SPECIFIC,N_OF_1_METHODS,level or rate contrast with repeated assessment,Name stable outcome method and protocol across periods; model or stratify device or procedure changes; use washout transition exclusion or explicit carryover handling only when justified,PERIODS_LONG_ENOUGH_FOR_ONSET_AND_CARRYOVER; NO_UNIVERSAL_DURATION,REPEATED_ASSESSMENT; FREQUENCY_BOUNDED_BY_BURDEN_AND_ETHICS,MISSINGNESS_MUST_BE_MODELED_AND_REPORTED,HARMS_AND_ETHICS_MUST_BE_RECORDED,NOT_APPLICABLE,Autocorrelation model assumptions onset transition and carryover choices determine uncertainty,An isolated component effect is not identifiable when training adaptations overlap and cannot be separated,Clinical transfer is indirect; training carryover may be intended; period length is hypothesis-specific and accumulated data alone do not remove trend confounding or carryover,NOT_APPLICABLE,AI_EXTRACTION_LANE_2,PENDING_INDEPENDENT_EXTRACTION
