source_id,primary_rq,secondary_rqs,decision,reason,reviewer_id
FRV2-A-005,RQ-A,,INCLUDE,Indirect periodization-method critique; use only against whole-architecture and superiority inference,AI_SCREEN_LANE_2
FRV2-A-006,RQ-A,,INCLUDE,Broad coach survey supports revisable planning concepts only; no running cycle prevalence or efficacy claim,AI_SCREEN_LANE_2
FRV2-A-007,RQ-A,,INCLUDE,Indirect elite-endurance practice description and weekly countercontext; middle-distance under six minutes excluded,AI_SCREEN_LANE_2
FRV2-A-008,RQ-A,,INCLUDE,Adult distance-running practice review; typical weeks only and no nonweekly comparison,AI_SCREEN_LANE_2
FRV2-A-009,RQ-A,,INCLUDE,Small adult middle-distance observational case supports individualized weekly adjustment only,AI_SCREEN_LANE_2
FRV2-A-010,RQ-A,,EXCLUDE,Nine-day overload experiment is not a recurring microcycle or prescription-frame study,AI_SCREEN_LANE_2
FRV2-A-011,RQ-A,,INCLUDE,Verified elite adult self-report supports 9-day practical use only; no causal or youth inference,AI_SCREEN_LANE_2
FRV2-A-012,RQ-A,,INCLUDE,Single recreational self-report supports existence of 9-day use only; concurrent changes defeat efficacy inference,AI_SCREEN_LANE_2
FRV2-A-013,RQ-A,,INCLUDE,Coach and athlete article supports practical nonweekly rationale and counterconstraints only,AI_SCREEN_LANE_2
FRV2-A-014,RQ-A,,INCLUDE,Third-party coaching discourse supports rationale only; named program use and injury claims remain unverified,AI_SCREEN_LANE_2
FRV2-A-015,RQ-A,,INCLUDE,Published 9-day template supports design exemplar only; not prevalence implementation or outcome evidence,AI_SCREEN_LANE_2
FRV2-A-016,RQ-A,,INCLUDE,Official sprint coaching presentation verifies a 10-day plan only; event-indirect and outcome-free,AI_SCREEN_LANE_2
FRV2-A-017,RQ-A,,INCLUDE,Verified elite adult female self-report supports 10-day use only; no causal attribution,AI_SCREEN_LANE_2
FRV2-B-001,RQ-B,,INCLUDE,Direct adolescent-runner biochemical time course; abstract-only and limited to reported 21-km markers through 24 h,AI_SCREEN_LANE_2
FRV2-B-002,RQ-B,,INCLUDE,Direct adolescent-runner renal-marker time course; abstract-only and no readiness or clearance inference,AI_SCREEN_LANE_2
FRV2-B-003,RQ-B,,INCLUDE,Youth endurance evidence for marker-specific 24-72 h kinetics; mixed-modality race is middle-distance indirect,AI_SCREEN_LANE_2
FRV2-B-004,RQ-B,,INCLUDE,Youth match study supports outcome-specific force kinetics and variability only; soccer transfer is indirect,AI_SCREEN_LANE_2
FRV2-B-005,RQ-B,,INCLUDE,Youth crossover evidence informs recovery-intervention context; soccer and intervention confound natural kinetics,AI_SCREEN_LANE_2
FRV2-B-006,RQ-B,,INCLUDE,Youth match abstract supports divergent objective and subjective kinetics only; extraction restricted to abstract,AI_SCREEN_LANE_2
FRV2-B-007,RQ-B,,INCLUDE,Youth randomized post-match training study informs intervening-load effects; not natural recovery or running clearance,AI_SCREEN_LANE_2
FRV2-B-009,RQ-B,,INCLUDE,Youth resistance and plyometric time course is relevant but soccer and fixed-order crossover are indirect,AI_SCREEN_LANE_2
FRV2-B-010,RQ-B,,INCLUDE,Systematic youth-adult EIMD comparison supplies mechanism context only; abstract cannot define session spacing,AI_SCREEN_LANE_2
FRV2-B-011,RQ-B,,INCLUDE,Adult middle-distance repeated 1500-m trial supplies performance-specific 24-h counterevidence only,AI_SCREEN_LANE_2
FRV2-B-013,RQ-B,,INCLUDE,Adult runner downhill study supplies marker-specific 24-48 h kinetics; abstract-only and protocol-specific,AI_SCREEN_LANE_2
FRV2-B-014,RQ-B,,INCLUDE,Adult runner repeated-downhill study supports outcome-specific persistence beyond 72 h; no universal threshold,AI_SCREEN_LANE_2
